CG4654	Dp	FBgn0011763	Drosophila melanogaster
CG4677	lmd	FBgn0039039	Drosophila melanogaster
CG4694	her	FBgn0001185	Drosophila melanogaster
CG4707	CG4707	FBgn0035036	Drosophila melanogaster
CG4709	CG4709	FBgn0032169	Drosophila melanogaster
CG4713	l(2)gd1	FBgn0261983	Drosophila melanogaster
CG4717	kni	FBgn0001320	Drosophila melanogaster
CG4730	CG4730	FBgn0039355	Drosophila melanogaster
CG4761	knrl	FBgn0001323	Drosophila melanogaster
CG4820	CG4820	FBgn0037876	Drosophila melanogaster
CG4854	CG4854	FBgn0038766	Drosophila melanogaster
CG4877	RAF2	FBgn0036624	Drosophila melanogaster
CG4881	salr	FBgn0000287	Drosophila melanogaster
CG4903	MESR4	FBgn0034240	Drosophila melanogaster
CG4936	CG4936	FBgn0038768	Drosophila melanogaster
CG4952	dac	FBgn0005677	Drosophila melanogaster
CG5005	HLH54F	FBgn0022740	Drosophila melanogaster
CG5034	GATAd	FBgn0032223	Drosophila melanogaster
CG5069	croc	FBgn0014143	Drosophila melanogaster
CG5083	Rbf2	FBgn0038390	Drosophila melanogaster
CG5093	Doc3	FBgn0035954	Drosophila melanogaster
CG5102	da	FBgn0267821	Drosophila melanogaster
CG5109	Pcl	FBgn0003044	Drosophila melanogaster
CG5133	Doc1	FBgn0028789	Drosophila melanogaster
CG5187	Doc2	FBgn0035956	Drosophila melanogaster
CG5245	CG5245	FBgn0038047	Drosophila melanogaster
CG5249	Blimp-1	FBgn0035625	Drosophila melanogaster
CG5264	btn	FBgn0014949	Drosophila melanogaster
CG5393	apt	FBgn0015903	Drosophila melanogaster
CG5441	tx	FBgn0263118	Drosophila melanogaster
CG5444	Taf4	FBgn0010280	Drosophila melanogaster
CG5488	B-H2	FBgn0004854	Drosophila melanogaster
CG5529	B-H1	FBgn0011758	Drosophila melanogaster
CG5545	Oli	FBgn0032651	Drosophila melanogaster
CG5557	sqz	FBgn0010768	Drosophila melanogaster
CG5575	ken	FBgn0011236	Drosophila melanogaster
CG5583	Ets98B	FBgn0005659	Drosophila melanogaster
CG5694	ova	FBgn0032197	Drosophila melanogaster
CG5737	dmrt93B	FBgn0038851	Drosophila melanogaster
CG5748	Hsf	FBgn0001222	Drosophila melanogaster
CG5799	dve	FBgn0020307	Drosophila melanogaster
CG5893	D	FBgn0000411	Drosophila melanogaster
CG6096	E(spl)m5-HLH	FBgn0002631	Drosophila melanogaster
CG6103	CrebB	FBgn0265784	Drosophila melanogaster
CG6172	vnd	FBgn0261930	Drosophila melanogaster
CG6215	CkIIalpha-i1	FBgn0015025	Drosophila melanogaster
CG6272	Irbp18	FBgn0036126	Drosophila melanogaster
CG6338	Ets97D	FBgn0004510	Drosophila melanogaster
CG6348	ro	FBgn0003267	Drosophila melanogaster
CG6376	E2f1	FBgn0011766	Drosophila melanogaster
CG6384	Cp190	FBgn0000283	Drosophila melanogaster
CG6464	salm	FBgn0261648	Drosophila melanogaster
CG6494	h	FBgn0001168	Drosophila melanogaster
CG6534	slou	FBgn0002941	Drosophila melanogaster
CG6545	lbe	FBgn0011278	Drosophila melanogaster
CG6604	H15	FBgn0016660	Drosophila melanogaster
CG6634	mid	FBgn0261963	Drosophila melanogaster
CG6654	CG6654	FBgn0038301	Drosophila melanogaster
CG6667	dl	FBgn0260632	Drosophila melanogaster
